symbol,yahooSymbol,shortName,sector,industry,forwardEps,trailingEps,forwardPE,trailingPE,pegRatio,revenueGrowth,earningsGrowth,grossMargins,operatingMargins,profitMargins,debtToEquity,currentRatio,quickRatio,totalDebt,totalCash,beta,marketCap,source,updatedAt,error
MMM,MMM,3M Company,Industrials,Conglomerates,9.45522,5.19,16.290472,29.678226,1.62,0.013,-0.397,0.39714,0.23316999,0.11137,396.497,1.594,1.06,13127999488,5818999808,1.09,80337002496,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
AOS,AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,4.17944,3.75,13.956415,15.554667,1.51,-0.019,-0.105,0.38764998,0.17111,0.13841,34.981,1.558,0.954,656899968,203900000,1.217,8039543808,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
ABT,ABT,Abbott Laboratories,Healthcare,Medical Devices,6.06395,3.57,14.292664,24.277311,1.29,0.078,-0.197,0.56503,0.13472,0.13904999,64.773,1.388,0.844,34136000512,7295000064,0.647,150962946048,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
ABBV,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,16.22977,2.05,13.131424,103.960976,0.59,0.124,-0.462,0.72026,0.32156,0.05786,,0.796,0.519,72912003072,9390999552,0.305,376538890240,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
ACN,ACN,Accenture plc,Technology,Information Technology Services,14.90661,12.2,11.873927,14.508197,1.24,0.083,0.04,0.32026002,0.13819,0.10606,25.469,1.336,1.2,8347366912,9405595648,1.071,108932022272,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
ADBE,ADBE,Adobe Inc.,Technology,Software - Application,26.38602,17.17,9.114296,14.006407,0.68,0.12,0.111,0.89396006,0.38762,0.29477,58.34,0.912,0.789,6670000128,6898999808,1.417,97206059008,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
AMD,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,12.95954,3.02,38.881783,166.851,1.21,0.378,0.912,0.5306,0.14396,0.13374,6.005,2.725,1.75,3871000064,12346999808,2.399,821643378688,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
AES,AES,The AES Corporation,Utilities,Utilities - Diversified,2.38879,1.92,6.141185,7.640625,0.81,0.087,9.511,0.19299999,0.18742001,0.10819,259.603,0.73,0.417,31804000256,1651000064,0.957,10462023680,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
AFL,AFL,AFLAC Incorporated,Financial Services,Insurance - Life,7.60369,8.75,15.363593,13.350857,1.18,0.279,38.6,0.50049996,0.29567,0.25596002,48.276,0.935,0.814,14464000000,8270000128,0.619,59459616768,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
A,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,6.56344,4.53,17.53349,25.403973,1.2,0.07,-0.036,0.523,0.22859,0.18259001,51.39,2.066,1.468,3550000128,1758000000,1.219,32521873408,Yahoo Finance fundamentals via yfinance/GitHub Actions,2026-05-27T05:59:57+00:00,
