symbol,yahooSymbol,date,close,adjClose,volume,avgVolume3m,ma20,ma50,ma200,volatility4m,maxDrawdown4m,high52,low52,range52,distance52High,distance52Low,return1m,return3m,return4m,return6m,source,updatedAt
A,A,2026-06-25,135.509995,135.509995,1533276,2234836,132.147499,122.181,130.48775,0.415029,-0.1161,157.199997,110.239998,0.538117,-0.137977,0.229227,0.177529,0.199416,0.089309,-0.02173,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
AAPL,AAPL,2026-06-25,275.149994,275.149994,102383867,48742912,299.725002,291.1508,269.211699,0.247847,-0.127062,315.200012,201.0,0.649299,-0.127062,0.368905,-0.107612,0.089185,0.01106,0.015426,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ABBV,ABBV,2026-06-25,243.139999,243.139999,10165578,6246196,224.224999,213.8842,221.045399,0.276928,-0.164317,244.380005,182.309998,0.980022,-0.005074,0.333662,0.14086,0.173569,0.064349,0.066825,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ABNB,ABNB,2026-06-25,141.880005,141.880005,3031710,3730422,136.317,137.311,129.484075,0.323952,-0.104591,144.399994,111.540001,0.923311,-0.017451,0.27201,0.06934,0.076398,0.129078,0.035999,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ABT,ABT,2026-06-25,93.239998,93.239998,10747786,12793928,89.1265,89.2746,112.7964,0.266309,-0.290417,137.399994,82.559998,0.194748,-0.321397,0.12936,0.075805,-0.11056,-0.186245,-0.255272,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ACGL,ACGL,2026-06-25,94.330002,94.330002,1466792,2345568,91.027,93.6498,93.42695,0.204241,-0.13299,101.980003,84.720001,0.556779,-0.075015,0.113432,-0.010905,0.010823,-0.048901,-0.028727,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ACN,ACN,2026-06-25,125.82,125.82,17882202,6943773,163.034999,172.9802,223.5532,0.52611,-0.419395,304.779999,124.830002,0.005502,-0.587178,0.007931,-0.289153,-0.345676,-0.360443,-0.535154,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ADBE,ADBE,2026-06-25,193.410004,193.410004,6922537,6092070,226.469501,238.685401,292.20825,0.440336,-0.318066,392.100006,193.410004,0.0,-0.506733,0.0,-0.195767,-0.184784,-0.242035,-0.459038,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ADI,ADI,2026-06-25,417.929993,417.929993,6439720,4264151,416.699506,406.480602,313.997351,0.43257,-0.159922,445.480011,220.679993,0.877447,-0.061843,0.893828,-0.004786,0.297798,0.173664,0.515227,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
ADM,ADM,2026-06-25,76.540001,76.540001,2551306,3749155,79.335,76.9468,67.0511,0.290459,-0.107359,84.110001,51.98,0.764395,-0.090001,0.472489,-0.018844,0.068099,0.125257,0.323077,Yahoo EOD via GitHub Actions/yfinance,2026-06-26T01:35:34+00:00
